date,tournament,round,player1_firstname,player1_lastname,player2_firstname,player2_lastname,category,URL
2025-01-18,Australian Open,R32,Danielle,Collins,Madison,Keys,WTA,20250118-W-Australian_Open-R32-Danielle_Collins-Madison_Keys.html
2025-01-18,Australian Open,R16,Paula,Badosa,Olga,Danilovic,WTA,20250118-W-Australian_Open-R16-Paula_Badosa-Olga_Danilovic.html
2025-01-18,Australian Open,R32,Taylor,Fritz,Gael,Monfils,ATP,20250118-M-Australian_Open-R32-Taylor_Fritz-Gael_Monfils.html
2025-01-18,Australian Open,R32,Miomir,Kecmanovic,Holger,Rune,ATP,20250118-M-Australian_Open-R32-Miomir_Kecmanovic-Holger_Rune.html
2025-01-18,Australian Open,R32,Jannik,Sinner,Marcos,Giron,ATP,20250118-M-Australian_Open-R32-Jannik_Sinner-Marcos_Giron.html
2025-01-18,Australian Open,R32,Ben,Shelton,Lorenzo,Musetti,ATP,20250118-M-Australian_Open-R32-Ben_Shelton-Lorenzo_Musetti.html
2025-01-18,Australian Open,R32,Alex,Michelsen,Karen,Khachanov,ATP,20250118-M-Australian_Open-R32-Alex_Michelsen-Karen_Khachanov.html
2025-01-17,Australian Open,R32,Paula,Badosa,Marta,Kostyuk,WTA,20250117-W-Australian_Open-R32-Paula_Badosa-Marta_Kostyuk.html
2025-01-17,Australian Open,R32,Leylah,Fernandez,Coco,Gauff,WTA,20250117-W-Australian_Open-R32-Leylah_Fernandez-Coco_Gauff.html
2025-01-17,Australian Open,R32,Jessica,Pegula,Olga,Danilovic,WTA,20250117-W-Australian_Open-R32-Jessica_Pegula-Olga_Danilovic.html
2025-01-17,Australian Open,R32,Diana,Shnaider,Donna,Vekic,WTA,20250117-W-Australian_Open-R32-Diana_Shnaider-Donna_Vekic.html
2025-01-17,Australian Open,R32,Nuno,Borges,Carlos,Alcaraz,ATP,20250117-M-Australian_Open-R32-Nuno_Borges-Carlos_Alcaraz.html
2025-01-17,Australian Open,R32,Novak,Djokovic,Tomas,Machac,ATP,20250117-M-Australian_Open-R32-Novak_Djokovic-Tomas_Machac.html
2025-01-16,Australian Open,R64,Iga,Swiatek,Rebecca,Sramkova,WTA,20250116-W-Australian_Open-R64-Iga_Swiatek-Rebecca_Sramkova.html
2025-01-16,Australian Open,R64,Elena Gabriela,Ruse,Madison,Keys,WTA,20250116-W-Australian_Open-R64-Elena_Gabriela_Ruse-Madison_Keys.html
2025-01-16,Australian Open,R64,Daria,Kasatkina,Yafan,Wang,WTA,20250116-W-Australian_Open-R64-Daria_Kasatkina-Yafan_Wang.html
2025-01-16,Australian Open,R32,Aryna,Sabalenka,Clara,Tauson,WTA,20250116-W-Australian_Open-R32-Aryna_Sabalenka-Clara_Tauson.html
2025-01-16,Australian Open,R64,Tristan,Schoolkate,Jannik,Sinner,ATP,20250116-M-Australian_Open-R64-Tristan_Schoolkate-Jannik_Sinner.html
2025-01-16,Australian Open,R64,Taylor,Fritz,Cristian,Garin,ATP,20250116-M-Australian_Open-R64-Taylor_Fritz-Cristian_Garin.html
2025-01-16,Australian Open,R64,Lorenzo,Sonego,Joao,Fonseca,ATP,20250116-M-Australian_Open-R64-Lorenzo_Sonego-Joao_Fonseca.html
2025-01-16,Australian Open,R64,Learner,Tien,Daniil,Medvedev,ATP,20250116-M-Australian_Open-R64-Learner_Tien-Daniil_Medvedev.html
2025-01-16,Australian Open,R64,Hubert,Hurkacz,Miomir,Kecmanovic,ATP,20250116-M-Australian_Open-R64-Hubert_Hurkacz-Miomir_Kecmanovic.html
2025-01-15,Australian Open,R64,Qinwen,Zheng,Laura,Siegemund,WTA,20250115-W-Australian_Open-R64-Qinwen_Zheng-Laura_Siegemund.html
2025-01-15,Australian Open,R64,Paula,Badosa,Talia,Gibson,WTA,20250115-W-Australian_Open-R64-Paula_Badosa-Talia_Gibson.html
2025-01-15,Australian Open,R64,Moyuka,Uchijima,Mirra,Andreeva,WTA,20250115-W-Australian_Open-R64-Moyuka_Uchijima-Mirra_Andreeva.html
2025-01-15,Australian Open,R64,Karolina,Muchova,Naomi,Osaka,WTA,20250115-W-Australian_Open-R64-Karolina_Muchova-Naomi_Osaka.html
2025-01-15,Australian Open,R64,Coco,Gauff,Jodie,Burrage,WTA,20250115-W-Australian_Open-R64-Coco_Gauff-Jodie_Burrage.html
2025-01-15,Australian Open,R64,Aryna,Sabalenka,Jessica Bouzas,Maneiro,WTA,20250115-W-Australian_Open-R64-Aryna_Sabalenka-Jessica_Bouzas_Maneiro.html
2025-01-15,Australian Open,R64,Casper,Ruud,Jakub,Mensik,ATP,20250115-M-Australian_Open-R64-Casper_Ruud-Jakub_Mensik.html
